,mean,std
walle.mp4,9.035936482948946,1.830543022354615
rio_jungle_jig.mp4,4.4393439893913405,1.0625411857794
bedtime.mp4,5.3617617399261865,0.8130311951782255
forest.mp4,11.499718806458139,3.9196139155413645
pingu.mp4,7.511616937263811,0.4740990626189602
moana.mp4,9.141018416447471,1.7295819696231076
cars.mp4,4.1654496484133805,2.7196140703313545
tayo_bus.mp4,9.61487210773493,1.0085663797535214
up_russell.mp4,7.471882455403608,1.6322733713053066
ratatouille.mp4,6.754980622958468,2.3431398947658284
incredibles.mp4,5.620013322959344,0.5515037505839331
piper.mp4,5.133155059303559,1.242306141959285
minions_supermarket.mp4,10.130619237526414,0.6796906436797668
real_cars.mp4,6.215812123102809,0.8508222109750226
bathsong.mp4,7.29752756387717,0.4186287445897069
breakfast_smoothie.mp4,7.956300964002319,1.5760218136341828
new_orleans.mp4,6.357104399343389,1.2263375385809125
wallace_gromit.mp4,8.64480362733056,1.0528513303186136
up_kevin_nonsocial.mp4,5.487531633450272,0.5819375300226108
supermarket.mp4,10.787609325600418,2.346536315144349
our_planet.mp4,7.356108768472653,0.8199532850020416
up_kevin_social.mp4,8.099096637845538,0.9818559311202755
funny_tools.mp4,4.603238761307518,0.7257297305024284
hand_tools.mp4,8.60036935301457,0.9643465648062082
despicable_me.mp4,8.74524702695919,1.339279088467824
dalmations.mp4,6.80214693306931,1.432186735528312
steamed_buns.mp4,8.424478427630824,2.476038813131782
cartoon_cars.mp4,6.345401175915228,1.023968656615667
mountain_song.mp4,8.301887680606551,3.031115383074993
beachsong.mp4,6.902193788047994,2.7489030033430346
